year,contracts,value_amd,single_source_contracts,single_source_value_amd,single_source_share_of_count_pct,single_source_share_of_value_pct,npna_contracts,npna_value_amd,noncompetitive_incl_npna_share_of_value_pct,procurement_contracts_excl_npe_grants,procurement_value_excl_npe_grants_amd,single_source_share_of_procurement_count_pct,single_source_share_of_procurement_value_pct,contracts_with_appeals
0200,1,6900000,0,0,0,0,0,0,0,1,6900000,0,0,0
0201,1,345200,1,345200,100,100,0,0,100,1,345200,100,100,0
0202,3,31640248,0,0,0,0,0,0,0,3,31640248,0,0,0
0203,1,672000,1,672000,100,100,0,0,100,1,672000,100,100,0
0204,1,6194320,0,0,0,0,0,0,0,1,6194320,0,0,0
0208,1,203160,0,0,0,0,0,0,0,1,203160,0,0,0
0219,2,3669500,0,0,0,0,0,0,0,2,3669500,0,0,0
0222,1,24523680,0,0,0,0,0,0,0,1,24523680,0,0,0
0225,1,315000,0,0,0,0,0,0,0,0,0,0,0,0
0226,1,20000,0,0,0,0,0,0,0,0,0,0,0,0
1901,4,166714300,1,161558900,25,96.91,0,0,96.91,4,166714300,25,96.91,0
1902,3,9021060,1,8019360,33.33,88.9,0,0,88.9,3,9021060,33.33,88.9,0
1904,1,350000,1,350000,100,100,0,0,100,1,350000,100,100,0
1905,3,3063000,2,874000,66.67,28.53,0,0,28.53,3,3063000,66.67,28.53,0
1906,2,125400,1,94200,50,75.12,0,0,75.12,2,125400,50,75.12,0
1907,3,388490,2,378670,66.67,97.47,0,0,97.47,2,378670,100,100,0
1908,2,2824000,2,2824000,100,100,0,0,100,2,2824000,100,100,0
1909,1,399000,1,399000,100,100,0,0,100,1,399000,100,100,0
1918,1,425000,0,0,0,0,0,0,0,1,425000,0,0,0
1920,4,15583934,0,0,0,0,0,0,0,4,15583934,0,0,0
1921,4,9539250,0,0,0,0,0,0,0,4,9539250,0,0,0
1922,3,3972000,0,0,0,0,0,0,0,2,3380000,0,0,0
1923,4,1207000,2,1157000,50,95.86,0,0,95.86,2,1157000,100,100,0
1924,2,14451374,2,14451374,100,100,0,0,100,2,14451374,100,100,0
1925,5,1477200,0,0,0,0,0,0,0,4,1417200,0,0,0
1926,1,2640000,1,2640000,100,100,0,0,100,1,2640000,100,100,0
1928,1,272100,1,272100,100,100,0,0,100,1,272100,100,100,0
1929,1,25000,0,0,0,0,0,0,0,0,0,0,0,0
1992,1,170000,0,0,0,0,0,0,0,0,0,0,0,0
2000,24,40551450,22,27051450,91.67,66.71,2,13500000,100,24,40551450,91.67,66.71,0
2001,2,207200,2,207200,100,100,0,0,100,2,207200,100,100,0
2004,1,543,0,0,0,0,1,543,100,1,543,0,0,0
2005,15,12392780,10,8369667,66.67,67.54,4,3939780,99.33,14,12309447,71.43,67.99,0
2006,48,33149131,35,22519513,72.92,67.93,13,10629618,100,48,33149131,72.92,67.93,0
2007,23,20228923,13,12900300,56.52,63.77,8,6195361,94.4,21,19095661,61.9,67.56,0
2008,249,1575859159,198,871353784,79.52,55.29,50,704457510,100,248,1575811294,79.84,55.3,0
2009,124,515730619,95,448069101,76.61,86.88,25,59521174,98.42,120,507590275,79.17,88.27,0
2010,98,10600870906,69,8688515334,70.41,81.96,24,1908116989,99.96,96,10600437573,71.88,81.96,0
2011,165,2994283333,107,714333355,64.85,23.86,34,2246560478,98.88,142,2976515833,75.35,24,0
2012,153,1056121819,96,238699370,62.75,22.6,33,805425249,98.86,131,1045691819,73.28,22.83,0
2013,1712,19058902505,1476,16320969078,86.21,85.63,224,2473378288,98.61,1703,19057417364,86.67,85.64,0
2014,756,8232965730,542,2626443027,71.69,31.9,165,1050058071,44.66,743,8227481605,72.95,31.92,0
2015,799,32971634287,368,4815802084,46.06,14.61,154,1624988816,19.53,777,32895163309,47.36,14.64,0
2016,3992,29553346902,188,2469285257,4.71,8.36,2258,5481337194,26.9,3967,29409615663,4.74,8.4,13
2017,13689,180648478515,2412,14701722040,17.62,8.14,5338,71393158514,47.66,13516,178181541820,17.85,8.25,108
2018,15022,215586491239,6281,112201083412,41.81,52.04,0,0,52.04,14694,214677612720,42.75,52.26,142
2019,18198,252547958123,7032,123746876945,38.64,49,0,0,49,16983,248820888535,41.41,49.73,114
2020,18457,402461073974,8044,189666891446,43.58,47.13,0,0,47.13,16838,398575415471,47.77,47.59,103
2021,20663,330532736066,6298,69419508829,30.48,21,0,0,21,16967,316975332737,37.12,21.9,78
2022,25121,610141434080,8136,157078789966,32.39,25.74,0,0,25.74,19649,515803168590,41.41,30.45,74
2023,28957,636760313773,10109,136335063804,34.91,21.41,0,0,21.41,21959,521473087241,46.04,26.14,24
2024,32736,818478561473,8533,55915051488,26.07,6.83,0,0,6.83,21973,690175237032,38.83,8.1,47
2025,33723,728305865079,9706,67063088558,28.78,9.21,0,0,9.21,23776,613483449638,40.82,10.93,51
2026,21367,552527308747,6467,69309697260,30.27,12.54,0,0,12.54,15946,476056379403,40.56,14.56,18
2027,1,635152,0,0,0,0,0,0,0,1,635152,0,0,0
2029,1,250000,0,0,0,0,0,0,0,1,250000,0,0,0
2108,1,1656250,0,0,0,0,0,0,0,1,1656250,0,0,0
