year,month,contracts,value_amd,share_of_year_count_pct,share_of_year_value_pct,index_vs_even_month_count,index_vs_even_month_value,single_source_contracts,single_source_share_of_count_pct,single_source_value_amd,single_source_share_of_month_value_pct,urgent_contracts,urgent_share_of_count_pct,urgent_value_amd,urgent_share_of_month_value_pct,urgent_open_tender_value_amd,top_buyer_of_month,top_buyer_share_of_month_value_pct,year_contracts,year_value_amd
2018,01,2096,83655690731,13.99,38.81,1.68,4.66,1514,72.23,74653747519,89.24,10,0.48,1527528666,1.83,1527528666,Ministry Of health of the Republic of Armenia,73.19,14985,215550862785
2018,02,1384,20016186779,9.24,9.29,1.11,1.11,649,46.89,14962415129,74.75,8,0.58,418500340,2.09,404754340,Ministry of defense of the Republic of Armenia,67.09,14985,215550862785
2018,03,1743,19898946514,11.63,9.23,1.4,1.11,622,35.69,6199215719,31.15,33,1.89,1481539809,7.45,1478200909,Ministry of defense of the Republic of Armenia,64.62,14985,215550862785
2018,04,1772,19275914345,11.83,8.94,1.42,1.07,584,32.96,3685809792,19.12,15,0.85,1471721766,7.64,1447257466,Ministry of defense of the Republic of Armenia,44.26,14985,215550862785
2018,05,1564,21971344242,10.44,10.19,1.25,1.22,396,25.32,1595472643,7.26,37,2.37,5565236458,25.33,5517951850,Ministry of defense of the Republic of Armenia,38.41,14985,215550862785
2018,06,1137,9355094922,7.59,4.34,0.91,0.52,343,30.17,2508672200,26.82,22,1.93,1384255470,14.8,1382273670,UNIFIED SOCIAL SERVICE,22.38,14985,215550862785
2018,07,1056,6921416254,7.05,3.21,0.85,0.39,297,28.13,962209783,13.9,11,1.04,760451217,10.99,669792305,Ministry of High-Tech Industry and Artificial Intelligence of the RA,24.16,14985,215550862785
2018,08,717,9779694185,4.78,4.54,0.57,0.54,235,32.78,564134678,5.77,21,2.93,4229727430,43.25,4229507430,Ministry of defense of the Republic of Armenia,38.32,14985,215550862785
2018,09,620,3658022886,4.14,1.7,0.5,0.2,306,49.35,738883137,20.2,7,1.13,324853075,8.88,322983075,City planning Committee of the Republic of Armenia,31.73,14985,215550862785
2018,10,744,6632213209,4.96,3.08,0.6,0.37,357,47.98,668913666,10.09,11,1.48,3834772868,57.82,3834772868,Ministry of defense of the Republic of Armenia,25.73,14985,215550862785
2018,11,870,6936525088,5.81,3.22,0.7,0.39,413,47.47,3902932886,56.27,17,1.95,621416764,8.96,543214334,Ministry of Internal Affairs of the Republic of Armenia,54.43,14985,215550862785
2018,12,1282,7449813630,8.56,3.46,1.03,0.41,554,43.21,1756419899,23.58,29,2.26,1451802370,19.49,932893600,Ministry of defense of the Republic of Armenia,37.01,14985,215550862785
2019,01,1792,81018819266,9.91,33.56,1.19,4.03,1368,76.34,71146684313,87.82,3,0.17,271118056,0.33,271118056,Ministry Of health of the Republic of Armenia,71.92,18075,241418565928
2019,02,1301,18208771904,7.2,7.54,0.86,0.91,718,55.19,7546816816,41.45,1,0.08,324000000,1.78,324000000,State Revenue Committee State Revenue Committee of the Republic of Armenia,29.28,18075,241418565928
2019,03,1445,7574402839,7.99,3.14,0.96,0.38,598,41.38,1345992384,17.77,36,2.49,447864343,5.91,390500000,Ministry of defense of the Republic of Armenia,30.14,18075,241418565928
2019,04,2029,7973442587,11.23,3.3,1.35,0.4,569,28.04,1051397300,13.19,26,1.28,1277173499,16.02,1256384260,Ministry of defense of the Republic of Armenia,22.24,18075,241418565928
