rank,buyer_tax_id,buyer_name,buyer_name_en,buyer_type,contracts_2018_2025,value_2018_2025_amd,december_contracts,december_value_amd,december_share_of_value_pct,december_share_of_count_pct,december_single_source_share_of_value_pct,december_urgent_share_of_value_pct,active_years,years_with_a_december_contract
1,00259325,ՀՀ  տարածքային կառավարման և ենթակառուցվածքների նախարարության միգրացիոն ծառայություն,Мigration service of the Ministry of territorial administration and infrastructure of the Republic of Armenia,GOVERNMENTAL,386,1548737498,43,1286548146,83.07,11.14,0.23,0,6,6
2,01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,GOVERNMENTAL,248,55522992647,42,21858940200,39.37,16.94,99.63,0,8,8
3,02545976,ՀՀ արտաքին գործերի նախարարության պետական արարողակարգի ծառայություն,State Protocol service of the Ministry of foreign Affairs of the Republic of Armenia,GOVERNMENTAL,1952,1591606902,203,557516131,35.03,10.4,99.51,0,8,8
4,02204739,ՀՀ արդարադատության նախարարության քրեակատարողական ծառայություն,Criminal Executive service of the Ministry of justice of the Republic of Armenia,GOVERNMENTAL,1184,31010382135,103,9483079456,30.58,8.7,2.27,9.1,8,8
5,00476409,Էկոպարեկային ծառայություն,Ecopatrol service,GOVERNMENTAL,968,8797105523,182,2605737905,29.62,18.8,12.49,39.01,8,8
6,06969135,ՀՀ Լոռու մարզպետի աշխատակազմ,Staff of Lori marzpet of the Republic of Armenia,GOVERNMENTAL,1446,5547483649,151,1534535151,27.66,10.44,13.05,28.49,8,8
7,04447253,ՀՀ  Արմավիրի մարզպետի աշխատակազմ,Staff of Armavir Marzpet of the Republic of Armenia,GOVERNMENTAL,1320,3592109510,272,963974981,26.84,20.61,1.08,27.96,8,8
8,01507079,ՀՀ ազգային անվտանգության ծառայություն,National security service of the Republic of Armenia,GOVERNMENTAL,2408,23646137562,265,6090742674,25.76,11,0.52,2.03,8,8
9,01541435,«Հայաստանի հանրային ռադիոընկերություն» ՓԲԸ,,OTHER,1397,1221467985,277,276628760,22.65,19.83,85.47,0,8,8
10,08601459,«ՀՀ Սևանի հոգեկան առողջության կենտրոն» ՓԲԸ,«Sevan mental health center» CJSC,OTHER,937,1740634011,75,383352766,22.02,8,0.15,0.02,8,7
11,03022497,Չարենցավանի համայնքապետարան,Municipality of Charencavan,URBAN,535,4067081870,87,881988509,21.69,16.26,2.29,0,8,7
12,04707075,«Էջմիածնի բժշկական կենտրոն» ՓԲԸ,"""Medical Center of Ejmiatsin"" CJSC",OTHER,466,1216151662,125,253806138,20.87,26.82,0,0,6,6
13,05507437,ՀՀ Շիրակի մարզպետի աշխատակազմ,Staﬀ of Shirak Marzpet of tհe Republic of Armenia,GOVERNMENTAL,1451,4655743121,85,912121901,19.59,5.86,2.92,24.43,8,8
