rank,buyer_tax_id,buyer_name,buyer_name_en,urgent_contracts,urgent_value_amd,urgent_share_of_own_count_pct,urgent_share_of_own_value_pct,urgent_single_source_contracts,urgent_single_source_value_amd,urgent_open_tender_contracts,urgent_open_tender_value_amd,share_of_all_urgent_value_pct,all_contracts,all_value_amd,first_urgent_contract,last_urgent_contract
1,02578338,ՀՀ տարածքային կառավարման և ենթակառուցվածքների նախարարություն,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,925,418145449528,24.73,58.02,137,71876950513,788,346268499015,33.53,3740,720751874648,2018-11-29,2026-06-25
2,00846441,«Հայաստանի տարածքային զարգացման հիմնադրամ»,Armenian Territorial Development Fund,764,347643256065,41.66,64.75,111,2205768829,653,345437487236,27.87,1834,536881511637,2018-04-26,2026-09-02
3,02565827,ՀՀ քաղաքաշինության կոմիտե,City planning Committee of the Republic of Armenia,255,154228319463,11.65,33.4,111,10621127368,144,143607192096,12.37,2189,461790529575,2018-12-26,2026-08-16
4,02522157,ՀՀ  պաշտպանության  նախարարություն,Ministry of defense of the Republic of Armenia,293,37432479074,3.92,15.24,173,8584968078,120,28847510996,3,7473,245562010321,2018-01-25,2026-06-03
5,01533334,ՀՀ ներքին գործերի նախարարություն,Ministry of Internal Affairs of the Republic of Armenia,302,32881052872,3.8,22.76,170,9326643225,132,23554409647,2.64,7953,144466916626,2018-01-24,2026-08-31
6,02593108,Երևանի քաղաքապետարան,Yerevan municipality,926,32771310652,7.25,12.76,96,9872425210,830,22898885442,2.63,12767,256871613986,2018-12-13,2026-08-20
7,02647057,ՀՀ պետական եկամուտների կոմիտե,State Revenue Committee State Revenue Committee of the Republic of Armenia,133,28584224998,4.08,24.65,69,8387866849,64,20196358149,2.29,3260,115949966097,2018-01-24,2026-08-30
8,02507171,ՀՀ  առողջապահության  նախարարություն,Ministry Of health of the Republic of Armenia,79,25852355527,0.87,4.51,49,7642303148,30,18210052379,2.07,9114,573365114869,2018-08-15,2026-06-04
9,05005705,Աշտարակի համայնքապետարան,Ashtarak community municipality,30,18301033681,4.72,72.67,0,0,30,18301033681,1.47,636,25182322806,2021-09-09,2026-07-28
10,02555816,ՀՀ  տարածքային կառավարման և ենթակառուցվածքների նախարարության ջրային կոմիտե,Water Committee of the Ministry of territorial administration and infrastructure of the Republic of Armenia,112,16669587544,11.29,28.41,36,1460006239,76,15209581305,1.34,992,58678510376,2019-08-20,2026-06-07
11,02565518,ՀՀ Բարձր տեխնոլոգիական արդյունաբերության և արհեստական բանականության նախարարություն,Ministry of High-Tech Industry and Artificial Intelligence of the RA,59,8597019070,1.41,10.01,25,514218626,34,8082800444,0.69,4173,85882169435,2018-01-28,2026-08-05
12,04401874,«Հայկական ատոմային էլեկտրակայան» ՓԲԸ,,145,8519193989,4.2,8.98,34,115076952,111,8404117037,0.68,3455,94902556669,2018-01-25,2026-07-27
13,02505983,ՀՀ էկոնոմիկայի նախարարություն,Ministry of economy of the Republic of Armenia,702,7527344976,17.73,13.27,702,7527344976,0,0,0.6,3960,56740054969,2020-03-30,2026-07-19
14,04000436,Արարատի համայնքապետարան,Ararat community municipality,48,6152036697,20.43,62.2,6,71544400,42,6080492297,0.49,235,9891395410,2021-09-16,2026-07-13
15,06101029,Արթիկի համայնքապետարան,Artik community municipality,15,4366787634,3.04,38.29,11,20296000,4,4346491634,0.35,494,11405432147,2018-07-09,2026-06-14
16,09426045,Քաջարանի համայնքապետարան,Qajaran community municipality,14,4360503180,7.18,39.15,0,0,14,4360503180,0.35,195,11138526933,2020-07-29,2026-08-23
17,08601339,Սևանի համայնքապետարան,Sevan community municipality,12,3486502910,4.92,66.34,0,0,12,3486502910,0.28,244,5255324783,2021-08-09,2026-08-13
18,09402451,Կապանի համայնքապետարան,Kapan community municipality,19,3393087332,20.43,55.52,0,0,19,3393087332,0.27,93,6111856232,2020-07-28,2023-06-06
