rank,supplier_tax_id,supplier_name,country,single_source_value_amd,single_source_contracts,all_contracts,all_value_amd,single_source_share_of_own_contracts_pct,single_source_share_of_own_value_pct,distinct_buyers,first_contract,last_contract
1,01540062,«Հայաստանի հանրային հեռուստաընկերություն»  ՓԲԸ,AM,52880444997,31,50,55784641567,62,94.79,6,2016-08-18,2026-08-19
2,01520882,«ՀԱՅԱՍՏԱՆԻ ԷԼԵԿՏՐԱԿԱՆ ՑԱՆՑԵՐ» ՓԲԸ,AM,45357101423,1724,1910,50574936536,90.26,89.68,78,2007-02-12,2026-08-10
3,02507464,<<ՀԱՅՓՈՍՏ>> ՓԲԸ,AM,29289653502,1088,1214,32910341932,89.62,89,80,2010-12-28,2026-08-12
4,00403857,Էրեբունի  բժշկական կենտրոն,AM,24980777925,56,75,26884180010,74.67,92.92,2,2017-02-09,2023-04-25
5,00046317,<Գազպրոմ Արմենիա> ՓԲԸ,AM,24215228500,1113,1223,26883122994,91.01,90.08,58,2006-04-09,2026-12-26
6,00009615,«ԱՐԱԲԿԻՐ» ԲԺՇԿԱԿԱՆ ՀԱՄԱԼԻՐ-ԵՐԵԽԱՆԵՐԻ ԵՎ ԴԵՌԱՀԱՍՆԵՐԻ ԱՌՈՂՋՈՒԹՅԱՆ ԻՆՍՏԻՏՈՒՏ ՍՊԸ,AM,19848223700,64,84,22514365775,76.19,88.16,2,2017-02-09,2024-07-11
7,02903618,Քարավան-11 ՍՊԸ,AM,18175162169,8,33,47657230816,24.24,38.14,2,2020-05-17,2026-01-08
8,01222567,Նատալի ֆարմ,AM,18165117283,128,1275,32203444927,10.04,56.41,75,2016-12-01,2026-08-19
9,00856548,Սուրբ Գրիգոր Լուսավորիչ ԲԿ ՓԲԸ,AM,16966790715,54,201,23715289797,26.87,71.54,4,2015-06-16,2025-12-30
10,00250339,Ա.Ա.Բ. ՊՐՈԵԿՏ ՍՊԸ,AM,15246606537,3,68,83552182977,4.41,18.25,5,2018-07-22,2026-08-13
11,00087963,«Սեքյուրիթի Դրիմ» ՍՊԸ,AM,14932800000,5,6,15937134300,83.33,93.7,1,2017-01-19,2020-01-21
12,01503448,Երեւանի Մխիթար Հերացու անվան պետական բժշկական համալսարան Հիմնադրամ,AM,14384321975,63,323,16278002211,19.5,88.37,8,2017-02-09,2026-07-05
13,03512651,Ճանապարհ ՍՊԸ,AM,13583898577,6,74,57166213082,8.11,23.76,6,2015-12-23,2026-02-25
14,01203375,Արմենիա հանրապետական բժշկական կենտրոն ՓԲԸ,AM,12031789725,31,48,13161126607,64.58,91.42,1,2017-02-09,2026-06-30
15,5261029614,Enigma Systemy Ochrony Informacji Sp. z o.o. ,AM,11744839087,3,9,13009874272,33.33,90.28,2,2022-04-11,2026-08-12
16,08601459,Սևանի հոգեբուժական հիվանդանոց,AM,11312275156,12,18,12101610156,66.67,93.48,1,2017-02-09,2026-04-07
17,01508793,Նորք-Մարաշ բժշկական կենտրոն ՓԲԸ,AM,10798766100,25,33,12041171430,75.76,89.68,2,2017-02-09,2026-02-19
18,02507818,Շտապբուժօգնություն ՓԲԸ,AM,9894119500,7,10,11239290020,70,88.03,2,2017-02-09,2026-02-26
19,02655115,ՎԵՈԼԻԱ ՋՈՒՐ ՓԲԸ,AM,9225735063,1041,1118,10133978999,93.11,91.04,71,2008-01-06,2026-08-10
20,08303908,«Ֆայրբըրդ ԷՅԱՅ» ՍՊԸ,AM,9174500000,1,1,9174500000,100,100,1,2026-04-16,2026-04-16
21,02235034,Սուրբ Աստվածամայր ԲԿ ,AM,8969074050,52,71,10410254725,73.24,86.16,4,2017-02-09,2026-04-20
22,02535733,ԻՆԳՈ ԱՐՄԵՆԻԱ ԱՓԲԸ,AM,8913412984,340,493,9602716529,68.97,92.82,59,2016-06-24,2026-08-12
23,01002804,«Վ. Ա. Ֆանարջյանի անվան ուռուցքաբանության ազգային կենտրոն» ՓԲԸ,AM,8453826300,20,27,9409982150,74.07,89.84,2,2017-02-09,2026-02-22
24,02887752,ԶՈՎԵՐ ՔՆՍԹՐԱՔՇՆ ՍՊԸ,AM,8178972829,4,6,8848799750,66.67,92.43,2,2025-01-04,2026-02-11
25,05800698,ՄԵՐՁՄՈՍԿՈՎՅԱՆ  ԲԲԸ,AM,7984714140,9,66,29038258456,13.64,27.5,6,2014-06-30,2026-08-27
26,02621409,ՄԵՐԻԴԻԱՆ ՀՈԼԴԻՆԳ ՓԲԸ,AM,7935241700,4,5,7959181700,80,99.7,2,2018-10-16,2026-08-18
27,02589581,«ԼԻԳԱ ԻՆՇՈՒՐԱՆՍ» ԱՓԲԸ,AM,7869008255,437,541,8895151792,80.78,88.46,76,2016-07-04,2026-06-21
28,01541435,«Հայաստանի հանրային ռադիոընկերություն» ՓԲԸ,AM,7665676599,14,19,8014388919,73.68,95.65,4,2005-05-02,2026-08-20
29,06945592,ՎԱՆԱՁՈՐԻ ԲԺՇԿԱԿԱՆ ԿԵՆՏՐՈՆ ՓԲԸ,AM,7044340200,50,72,7884258870,69.44,89.35,1,2017-02-09,2025-08-27
30,00475611,ՀՈԳԵԿԱՆ ԱՌՈՂՋՈՒԹՅԱՆ ՊԱՀՊԱՆՄԱՆ ԱԶԳԱՅԻՆ ԿԵՆՏՐՈՆ ՓԲԸ ,AM,6862671305,12,20,6900293505,60,99.45,2,2018-01-19,2026-04-13
