rank,buyer_tax_id,buyer_name,buyer_name_en,buyer_type,single_source_value_amd,single_source_contracts,all_value_amd,all_contracts,single_source_share_of_spend_pct,single_source_share_of_count_pct,distinct_suppliers,distinct_single_source_suppliers
1,02507171,ՀՀ  առողջապահության  նախարարություն,Ministry Of health of the Republic of Armenia,GOVERNMENTAL,486685298874,6788,694913788942,12259,70.04,55.37,1038,709
2,02578338,ՀՀ տարածքային կառավարման և ենթակառուցվածքների նախարարություն,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,GOVERNMENTAL,84279806235,1355,717356223567,3905,11.75,34.7,657,241
3,01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,GOVERNMENTAL,61824011075,260,63648315193,316,97.13,82.28,79,65
4,02522157,ՀՀ  պաշտպանության  նախարարություն,Ministry of defense of the Republic of Armenia,GOVERNMENTAL,60121566353,1402,293683491018,8508,20.47,16.48,1489,375
5,01533334,ՀՀ ներքին գործերի նախարարություն,Ministry of Internal Affairs of the Republic of Armenia,GOVERNMENTAL,51906541081,2865,163732141060,9451,31.7,30.31,1614,557
6,02593108,Երևանի քաղաքապետարան,Yerevan municipality,URBAN,21892054730,1691,266187908939,13704,8.22,12.34,2168,463
7,02565827,ՀՀ քաղաքաշինության կոմիտե,City planning Committee of the Republic of Armenia,GOVERNMENTAL,17221781051,815,470188748197,2658,3.66,30.66,422,180
8,04401874,«Հայկական ատոմային էլեկտրակայան» ՓԲԸ,,OTHER,17076141750,279,94121631775,3473,18.14,8.03,911,151
9,02647057,ՀՀ պետական եկամուտների կոմիտե,State Revenue Committee State Revenue Committee of the Republic of Armenia,GOVERNMENTAL,14838050009,970,128152375255,3617,11.58,26.82,992,332
10,02565518,ՀՀ բարձր տեխնոլոգիական արդյունաբերության նախարարություն,Ministry of High-Tech Industry of the Republic of Armenia,GOVERNMENTAL,14746677776,1644,114231071886,4472,12.91,36.76,1428,399
11,02505511,Միասնական սոցիալական ծառայություն,UNIFIED SOCIAL SERVICE,GOVERNMENTAL,14276397832,882,21633144077,8040,65.99,10.97,3287,291
12,02902959,Պրոբացիայի ծառայություն,Probation Service,GOVERNMENTAL,11749425106,137,12518412288,240,93.86,57.08,114,64
13,02528489,ՀՀ տարածքային կառավարման և ենթակառուցվածքների  նախարարության  պետական գույքի կառավարման կոմիտե,State Property management Committee of the Ministry of territorial administration and infrastructure of the Republic of Armenia,GOVERNMENTAL,11031206649,362,19772552205,614,55.79,58.96,163,70
14,01540062,«Հայաստանի հանրային Հեռուստաընկերություն» ՓԲԸ,,OTHER,10622017237,4100,15398451880,4919,68.98,83.35,1441,1232
15,02704199,Բարձրագույն կրթության և գիտության կոմիտե,Higher Education and Science Committee,GOVERNMENTAL,10446742088,236,24991447650,437,41.8,54,150,82
16,02583241,Դատական դեպարտամենտ,Judicial Department,GOVERNMENTAL,9857049554,1849,20515666465,4348,48.05,42.53,744,222
17,02507198,ՀՀ շրջակա միջավայրի նախարարություն,Ministry of environment of the Republic of Armenia,GOVERNMENTAL,9653378521,896,31561764022,1544,30.59,58.03,428,242
18,02505983,ՀՀ էկոնոմիկայի նախարարություն,Ministry of economy of the Republic of Armenia,GOVERNMENTAL,9370705608,2304,56937715194,4378,16.46,52.63,1359,421
