supplier_tax_id,supplier_name,contracts,value_amd,single_source_share_of_value_pct,distinct_buyers,top_buyer_tax_id,top_buyer_name,top_buyer_contracts,top_buyer_value_amd,top_buyer_share_of_value_pct,first_contract,last_contract
03512651,Ճանապարհ ՍՊԸ,74,57166213082,23.76,6,02578338,ՀՀ տարածքային կառավարման և ենթակառուցվածքների նախարարություն,58,54048015013,94.55,2015-12-23,2026-02-25
02285123,ԵՎՐՈԱՍՖԱԼՏ ՓԲԸ,53,57087975357,0.08,5,02578338,ՀՀ տարածքային կառավարման և ենթակառուցվածքների նախարարություն,47,55604111263,97.4,2021-06-16,2026-04-14
01540062,«Հայաստանի հանրային հեռուստաընկերություն»  ՓԲԸ,50,55784641567,94.79,6,01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,18,53954931670,96.72,2016-08-18,2026-08-19
02903618,Քարավան-11 ՍՊԸ,33,47657230816,38.14,2,02578338,ՀՀ տարածքային կառավարման և ենթակառուցվածքների նախարարություն,31,47034430816,98.69,2020-05-17,2026-01-08
01531784,Էյ Էմ Փի Ջի գրուպ  ՍՊԸ,44,43580424615,0.76,7,02647057,ՀՀ պետական եկամուտների կոմիտե,20,42372529800,97.23,2016-10-13,2025-07-15
00106947,«Լեոպոլդ և ընկերներ » ՍՊԸ,33,38398162566,0.74,2,02578338,ՀՀ տարածքային կառավարման և ենթակառուցվածքների նախարարություն,30,37782504662,98.4,2021-07-19,2024-03-12
09208107,Ոսմար ՍՊԸ,47,30128994653,20.51,3,02578338,ՀՀ տարածքային կառավարման և ենթակառուցվածքների նախարարություն,27,27589048785,91.57,2015-12-20,2026-04-16
02861537,«ԵՎՐՈԲՈՒԴ ՊԼՅՈՒՍ» ՍՊԸ,26,29372243772,0,4,02578338,ՀՀ տարածքային կառավարման և ենթակառուցվածքների նախարարություն,22,27362751876,93.16,2023-04-19,2025-10-26
00403857,Էրեբունի  բժշկական կենտրոն,75,26884180010,92.92,2,02507171,ՀՀ  առողջապահության  նախարարություն,74,26882180010,99.99,2017-02-09,2023-04-25
08908014,ՌԱՖԷԼԳՐԻԳ ՓԲԸ,30,26164646896,0,13,02593108,Երևանի քաղաքապետարան,13,24039314192,91.88,2019-09-18,2026-06-17
02625503,«Հիվանդությունների վերահսկման և կանխարգելման ազգային կենտրոն» ՊՈԱԿ,60,25249825153,0.19,7,02507171,ՀՀ  առողջապահության  նախարարություն,27,25199530063,99.8,2017-02-16,2026-07-20
01312947,Վի Քեյ ԳՐՈՒՊ ՍՊԸ,29,24932812306,0,6,00846441,Հայաստանի տարածքային զարգացման հիմնադրամ,17,24588711181,98.62,2021-09-27,2026-02-16
08617407,ԱՐՍԵՎ  ՍՊԸ,23,24466069163,0,4,02565827,ՀՀ քաղաքաշինության կոմիտե,17,23410048231,95.68,2017-06-06,2023-05-23
00856548,Սուրբ Գրիգոր Լուսավորիչ ԲԿ ՓԲԸ,201,23715289797,71.54,4,02507171,ՀՀ  առողջապահության  նախարարություն,195,23698064957,99.93,2015-06-16,2025-12-30
00009615,«ԱՐԱԲԿԻՐ» ԲԺՇԿԱԿԱՆ ՀԱՄԱԼԻՐ-ԵՐԵԽԱՆԵՐԻ ԵՎ ԴԵՌԱՀԱՍՆԵՐԻ ԱՌՈՂՋՈՒԹՅԱՆ ԻՆՍՏԻՏՈՒՏ ՍՊԸ,84,22514365775,88.16,2,02507171,ՀՀ  առողջապահության  նախարարություն,82,22513737400,100,2017-02-09,2024-07-11
00471629,ԱԼ ԵՎ ԱՐ,59,22004986719,0,11,00846441,Հայաստանի տարածքային զարգացման հիմնադրամ,12,21375771782,97.14,2017-09-12,2026-02-15
00412375,ՎԱՆԻ ՍՊԸ,26,21970110958,0,3,02565827,ՀՀ քաղաքաշինության կոմիտե,21,21697869198,98.76,2016-10-10,2023-09-17
08205134,Շանթ-Սեյրան ՍՊԸ,45,21952032844,0,5,02578338,ՀՀ տարածքային կառավարման և ենթակառուցվածքների նախարարություն,27,20914626101,95.27,2015-12-20,2026-02-26
02315582,ԱՐՄԱՏ ՔՈՆՍԹՐԱՔՇՆ ՓԲԸ,17,21483293500,0,2,00846441,Հայաստանի տարածքային զարգացման հիմնադրամ,16,21387614000,99.55,2024-09-19,2026-02-15
08404037,Թիվ1 Շինվարչություն ԲԲԸ,34,21061474216,5.67,7,02565827,ՀՀ քաղաքաշինության կոմիտե,25,19810039936,94.06,2016-08-08,2026-03-02
00003206,Արփա-Սևան  ԲԲԸ,32,19882461650,10.49,5,02555816,ՀՀ  տարածքային կառավարման և ենթակառուցվածքների նախարարության ջրային կոմիտե,19,19638147338,98.77,2017-02-14,2026-06-17
01503448,Երեւանի Մխիթար Հերացու անվան պետական բժշկական համալսարան Հիմնադրամ,323,16278002211,88.37,8,02507171,ՀՀ  առողջապահության  նախարարություն,80,16122267109,99.04,2017-02-09,2026-07-05
02567316,Մ.Լ.Ն Ֆարմ ՍՊԸ,80,16175988611,4.96,10,02507171,ՀՀ  առողջապահության  նախարարություն,41,16074788525,99.37,2015-08-17,2026-08-20
04600132,Բաղրամյանշին  ԲԲԸ,26,14834790652,1.04,8,02565827,ՀՀ քաղաքաշինության կոմիտե,15,13875905758,93.54,2014-12-01,2026-06-09
05434950537000073,Սանոֆի Պաստեռ բաժնետիրական ընկերություն,12,14292830611,0.34,1,02507171,ՀՀ  առողջապահության  նախարարություն,12,14292830611,100,2018-10-08,2024-10-10
04000271,Արարատշին ՍՊԸ,17,13674691179,0,5,02565827,ՀՀ քաղաքաշինության կոմիտե,11,13483752069,98.6,2015-12-14,2021-04-22
01203375,Արմենիա հանրապետական բժշկական կենտրոն ՓԲԸ,48,13161126607,91.42,1,02507171,ՀՀ  առողջապահության  նախարարություն,48,13161126607,100,2017-02-09,2026-06-30
08601459,Սևանի հոգեբուժական հիվանդանոց,18,12101610156,93.48,1,02507171,ՀՀ  առողջապահության  նախարարություն,18,12101610156,100,2017-02-09,2026-04-07
01508793,Նորք-Մարաշ բժշկական կենտրոն ՓԲԸ,33,12041171430,89.68,2,02507171,ՀՀ  առողջապահության  նախարարություն,30,11955551430,99.29,2017-02-09,2026-02-19
7705966318,"АО ""Росатом Сервис""",22,11681721045,47.54,1,04401874,«Հայկական ատոմային էլեկտրակայան» ՓԲԸ,22,11681721045,100,2018-08-07,2026-05-24
144939,F. Hoffmann - La Roche AG,21,11488507949,0.03,1,02507171,ՀՀ  առողջապահության  նախարարություն,21,11488507949,100,2019-03-18,2026-03-15
02507818,Շտապբուժօգնություն ՓԲԸ,10,11239290020,88.03,2,02507171,ՀՀ  առողջապահության  նախարարություն,9,11239202520,100,2017-02-09,2026-02-26
00922303,ՌՈՈՒԴԿՈՆՍՏՐԱԿՏ ՍՊԸ,25,10753317692,0,5,00846441,Հայաստանի տարածքային զարգացման հիմնադրամ,11,10036707796,93.34,2020-04-14,2026-06-28
02235034,Սուրբ Աստվածամայր ԲԿ ,71,10410254725,86.16,4,02507171,ՀՀ  առողջապահության  նախարարություն,63,10391069725,99.82,2017-02-09,2026-04-20
02510673,Ա.Սպենդիարյանի անվան օպերայի և բալետի ակադեմիկական թատրոն ՊՈԱԿ,46,10170018702,9.17,8,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",27,9236905002,90.82,2016-12-30,2026-06-16
01287026,ԼԵԲՐՈՆ ՍՊԸ,48,9806275338,0.13,5,00462592,«Հոգեկան առողջության պահպանման ազգային կենտրոն» ՓԲԸ,4,9190723300,93.72,2018-12-18,2022-11-20
01805817,Գյուղատնտեսական ծառայությունների կենտրոն ՊՈԱԿ,28,9787352779,0,3,02505983,ՀՀ էկոնոմիկայի նախարարություն,25,9786870700,100,2019-04-24,2026-02-05
04420765,«ՀԻԴՐՈՄԱՇ ՍԵՐՎԻՍ» ՍՊԸ,16,9679217240,0.01,9,04402328,Մեծամորի համայնքապետարան,2,9609268400,99.28,2021-03-29,2025-12-08
00471216,Թեոֆարմա Իմպորտ ՍՊԸ,268,9581865677,0.32,38,02507171,ՀՀ  առողջապահության  նախարարություն,60,8745469190,91.27,2019-12-04,2026-07-14
01002804,«Վ. Ա. Ֆանարջյանի անվան ուռուցքաբանության ազգային կենտրոն» ՓԲԸ,27,9409982150,89.84,2,02507171,ՀՀ  առողջապահության  նախարարություն,23,9399896150,99.89,2017-02-09,2026-02-22
09414681,ԼԱՎ ԸՆԿԵՐ ՍՊԸ,35,8782586020,55.5,4,02522157,ՀՀ  պաշտպանության  նախարարություն,29,8698215620,99.04,2016-12-12,2026-02-26
01064031,ՏԻԳՐԱՆ ՄԵԾ-1  ՍՊԸ,10,8561769698,0,2,00846441,Հայաստանի տարածքային զարգացման հիմնադրամ,6,8560550948,99.99,2024-02-06,2026-02-15
00228737,Թիմ Սոլյուշնս ՓԲԸ,49,8377848032,1.52,6,02647057,ՀՀ պետական եկամուտների կոմիտե,29,7639198075,91.18,2020-12-21,2026-07-14
02825793,Հիդրոօդերևութաբանության և մոնիթորինգի կենտրոն ՊՈԱԿ,15,8298756880,0.05,4,02507198,ՀՀ շրջակա միջավայրի նախարարություն,6,8291674600,99.91,2020-02-06,2026-07-05
01541435,«Հայաստանի հանրային ռադիոընկերություն» ՓԲԸ,19,8014388919,95.65,4,01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,14,8008142919,99.92,2005-05-02,2026-08-20
06945592,ՎԱՆԱՁՈՐԻ ԲԺՇԿԱԿԱՆ ԿԵՆՏՐՈՆ ՓԲԸ,72,7884258870,89.35,1,02507171,ՀՀ  առողջապահության  նախարարություն,72,7884258870,100,2017-02-09,2025-08-27
01063769,«ԱՐՄՍՎԵ ԳՐՈՒՊ» ՍՊԸ,16,7577879612,0,3,02565827,ՀՀ քաղաքաշինության կոմիտե,3,7570023912,99.9,2024-03-11,2026-05-06
01202252,"Վերարտադրողական առողջության, պերինատոլոգիայի,մանկաբարձությա և գինեկոլոգիայի հանրապետական ինստտիտուտ ՓԲԸ",74,7205008226,75.54,1,02507171,ՀՀ  առողջապահության  նախարարություն,74,7205008226,100,2017-02-09,2025-08-31
02566492,«Արդշինբանկ» ԲԲԸ,48,7200231624,2.52,8,02522157,ՀՀ  պաշտպանության  նախարարություն,2,6995725868,97.16,2000-06-05,2026-01-20
00475611,ՀՈԳԵԿԱՆ ԱՌՈՂՋՈՒԹՅԱՆ ՊԱՀՊԱՆՄԱՆ ԱԶԳԱՅԻՆ ԿԵՆՏՐՈՆ ՓԲԸ ,20,6900293505,99.45,2,02507171,ՀՀ  առողջապահության  նախարարություն,19,6900248505,100,2018-01-19,2026-04-13
00352,Արեմպա Ինթերնեյշնլ ՍՊԸ,22,6824130635,2.8,3,02647057,ՀՀ պետական եկամուտների կոմիտե,20,6595722269,96.65,2016-12-29,2026-01-06
02508792,«Հայաստանի ազգային ֆիլհարմոնիկ նվագախումբ» ՊՈԱԿ,65,6664717220,1.53,4,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",54,6562447220,98.47,2021-09-06,2026-08-03
08800705,«Վարդենիսի շուրջօրյա մասնագիտացված խնամքի կենտրոն» ՊՈԱԿ,12,6649031900,0,1,01506515,ՀՀ  աշխատանքի և սոցիալական հարցերի նախարարություն,12,6649031900,100,2021-11-03,2026-07-16
04418892,Զարիշատ /Արամ/ Մարտինի Մկրտչյանի անվան Արմավիրի ԲԿ ՓԲԸ,86,6633305038,84.03,3,02507171,ՀՀ  առողջապահության  նախարարություն,82,6456972250,97.34,2017-02-09,2025-03-20
01528652,Շինսերտիֆիկատ  ՍՊԸ,143,6297716520,0.96,3,02565827,ՀՀ քաղաքաշինության կոմիտե,136,5982684220,95,2020-09-22,2026-02-09
00010235,««Յոլյան» արյունաբանության և ուռուցքաբանության կենտրոն» ՓԲԸ,43,6143532180,97.06,1,02507171,ՀՀ  առողջապահության  նախարարություն,43,6143532180,100,2017-02-16,2026-01-25
05539526,Գյումրու բժշկական կենտրոն ՓԲԸ,48,6143444680,87.92,3,02507171,ՀՀ  առողջապահության  նախարարություն,43,6126569980,99.73,2017-02-09,2025-11-23
01243384,ՀՀ ԱՆ «Թոքաբանության ազգային կենտրոն» ՊՈԱԿ,18,6050491032,84.05,2,02507171,ՀՀ  առողջապահության  նախարարություն,17,6049841032,99.99,2017-02-09,2024-10-21
02638486,«Դանիամ» ՍՊԸ,33,5988164861,0,2,02647057,ՀՀ պետական եկամուտների կոմիտե,32,5918364881,98.83,2022-01-23,2024-12-11
02204515,Շենգավիթ բժշկական կենտրոն ՓԲԸ,55,5909250379,88.98,2,02507171,ՀՀ  առողջապահության  նախարարություն,54,5908050379,99.98,2017-02-09,2023-04-25
03535604,ՕՆԻՐԱ ՔԼԱԲ ՍՊԸ,19,5683366510,1.93,10,02505983,ՀՀ էկոնոմիկայի նախարարություն,1,5570812500,98.02,2016-12-12,2023-10-24
02250353,ՉԵԽ ԱՎՏՈ ՍՊԸ,104,5675016459,13.26,5,01533334,ՀՀ ներքին գործերի նախարարություն,37,5643585910,99.45,2016-11-08,2026-08-10
03308709,Կանժիլստրոյ ՍՊԸ,11,5479985355,0,1,02565827,ՀՀ քաղաքաշինության կոմիտե,11,5479985355,100,2016-11-15,2021-04-27
01836525,ՀՀ ԳԱԱ Փորձաքննությունների ազգային բյուրո ՊՈԱԿ,292,5271723960,4.22,12,02506634,ՀՀ դատախազություն,30,5215280460,98.93,2015-04-08,2026-08-04
02512069,«ՀՀ փորձագիտական կենտրոն» ՊՈԱԿ,165,5246618476,0.45,20,02506264,ՀՀ  արդարադատության նախարարություն,12,5091860400,97.05,2017-02-26,2026-11-10
03522199,ՌՈՒԲԻԿ ՀԱՐՈՒԹՅՈՒՆՅԱՆԻ ԱՆՎԱՆ ԱԲՈՎՅԱՆԻ ԲԺՇԿԱԿԱՆ ԿԵՆՏՐՈՆ ՓԲԸ,71,5103533463,89.22,4,02507171,ՀՀ  առողջապահության  նախարարություն,56,5100532991,99.94,2016-03-31,2026-08-12
01226155,«Առաջատար տեխնոլոգիաների ձեռնարկությունների միություն» Հասարակական կազմակերպություն,14,4996043880,1.42,4,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",6,4523266100,90.54,2019-11-11,2026-02-08
04220707,Արտաշատի բժշկական  կենտրոն ՓԲԸ,71,4981036064,89.79,1,02507171,ՀՀ  առողջապահության  նախարարություն,71,4981036064,100,2017-02-09,2025-08-10
02245698,Ինտերեվրոս-Արգոս ՍՊԸ,14,4934387643,0,5,02565827,ՀՀ քաղաքաշինության կոմիտե,8,4446798040,90.12,2017-06-22,2026-03-08
