year,contracts,contracts_with_appeals,appeals_share_pct
0200,1,0,0
0201,1,0,0
0202,3,0,0
0203,1,0,0
0204,1,0,0
0208,1,0,0
0219,2,0,0
0222,1,0,0
0225,1,0,0
0226,1,0,0
1901,4,0,0
1902,3,0,0
1904,1,0,0
1905,3,0,0
1906,2,0,0
1907,3,0,0
1908,2,0,0
1909,1,0,0
1918,1,0,0
1920,4,0,0
1921,4,0,0
1922,3,0,0
1923,4,0,0
1924,2,0,0
1925,5,0,0
1926,1,0,0
1928,1,0,0
1929,1,0,0
1992,1,0,0
2000,24,0,0
2001,2,0,0
2004,1,0,0
2005,15,0,0
2006,48,0,0
2007,23,0,0
2008,249,0,0
2009,124,0,0
2010,98,0,0
2011,165,0,0
2012,153,0,0
2013,1712,0,0
2014,756,0,0
2015,799,0,0
2016,3992,13,0.33
2017,13689,108,0.79
2018,15022,142,0.95
2019,18198,114,0.63
2020,18457,103,0.56
2021,20663,78,0.38
2022,25121,74,0.29
2023,28957,24,0.08
2024,32736,47,0.14
2025,33723,51,0.15
2026,21367,18,0.08
2027,1,0,0
2029,1,0,0
2108,1,0,0
