buyer_tax_id,buyer_name,buyer_name_en,buyer_type,year,contracts,value_amd,single_source_contracts,single_source_value_amd,single_source_share_of_count_pct,single_source_share_of_value_pct,buyer_total_value_2018_2026_amd,buyer_single_source_value_2018_2026_amd,buyer_single_source_share_2018_2026_pct,rank_by_single_source_value_2024_2026
01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,GOVERNMENTAL,2018,11,5794649,9,3187160,81.82,55,63623329410,61810559475,97.15,1
01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,GOVERNMENTAL,2019,24,7159507021,23,7156801126,95.83,99.96,63623329410,61810559475,97.15,1
01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,GOVERNMENTAL,2020,36,14049501632,30,14047014980,83.33,99.98,63623329410,61810559475,97.15,1
01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,GOVERNMENTAL,2021,33,7894836563,29,7888007783,87.88,99.91,63623329410,61810559475,97.15,1
01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,GOVERNMENTAL,2022,33,9808549601,29,9801796601,87.88,99.93,63623329410,61810559475,97.15,1
01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,GOVERNMENTAL,2023,34,75961041,30,4821041,88.24,6.35,63623329410,61810559475,97.15,1
01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,GOVERNMENTAL,2024,34,8232747027,29,7592663527,85.29,92.23,63623329410,61810559475,97.15,1
01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,GOVERNMENTAL,2025,47,8300297193,42,7765245873,89.36,93.55,63623329410,61810559475,97.15,1
01539597,«Հանրային հեռարձակողի խորհրդի աշխատակազմ» ՊՀ,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,GOVERNMENTAL,2026,28,8096134683,21,7551021383,75,93.27,63623329410,61810559475,97.15,1
02593108,Երևանի քաղաքապետարան,Yerevan municipality,URBAN,2018,901,10554003724,184,901026597,20.42,8.54,255562533496,21588832715,8.45,2
