abbr,procedure,contracts,value,classified_as
ՄԱ,single source,72157,873697151468,single_source
ԳՀ,request for quotation,54171,347409619221,competitive_or_other
ԷԱՃ,electronic auction,36675,372612329243,competitive_or_other
ԳՉԾ,NPE (Non-Procurement expense),26390,147702789658,competitive_or_other
ԴՄ,Grant competition,19375,406331767167,competitive_or_other
ԲԸԱՀ,NPNA (Negotiated Procedure with No Preliminary Announcement),8333,87781267586,negotiated_no_notice
ԲՄ,open tender,5551,1233021295800,competitive_or_other
ՀԲՄ,urgent open tender,4158,1091194652599,competitive_or_other
ՀՄԱ,urgent single source,4101,159199176604,single_source
ՇՀ,FA (Framework Agreement),4049,60170522269,competitive_or_other
ԲԸ,OP (Open Procedure),553,20152017334,competitive_or_other
ՊԸ,SP (Simplified Procedure),316,821893295,competitive_or_other
ԲԸՀ,NPA (Negotiated Procedure with Preliminary Announcement),266,15058947054,competitive_or_other
ԵՄ,bipartite contest,61,19219619663,competitive_or_other
ՄԵ,CD (Competitive Dialog),3,598415000,competitive_or_other
